Time,Channel A
(ms),(mV)

-0.00200000,11.02362156
-0.00100000,11.81102276
0.00000000,11.02362156
0.00100000,12.20472336
0.00200000,9.05511761
0.00300000,13.38582611
0.00400000,12.59842396
0.00500000,11.81102276
0.00600000,11.81102276
0.00700000,11.41732216
0.00800000,11.02362156
0.00900000,12.99212551
0.01000000,11.02362156
0.01100000,12.59842396
0.01200000,10.23621941
0.01300000,12.99212551
0.01400000,12.20472336
0.01500000,12.20472336
0.01600000,12.99212551
0.01700000,12.20472336
0.01800000,12.20472336
0.01900000,12.99212551
0.02000000,11.41732216
0.02100000,12.59842396
0.02200000,11.41732216
0.02300000,10.62992096
0.02400000,13.77952671
0.02500000,12.59842396
0.02600000,13.38582611
0.02700000,11.81102276
0.02800000,10.23621941
0.02900000,12.59842396
0.03000000,11.81102276
0.03100000,11.02362156
0.03200000,13.38582611
0.03300000,9.84251881
0.03400000,11.41732216
0.03500000,11.81102276
0.03600000,11.81102276
0.03700000,12.20472336
0.03800000,9.84251881
0.03900000,10.62992096
0.04000000,11.41732216
0.04100000,11.02362156
0.04200000,13.77952671
0.04300000,9.44881821
0.04400000,12.20472336
0.04500000,10.23621941
0.04600000,11.02362156
0.04700000,11.02362156
0.04800000,11.02362156
0.04900000,9.84251881
0.05000000,12.20472336
0.05100000,9.84251881
0.05200000,12.59842396
0.05300000,10.23621941
0.05400000,11.02362156
0.05500000,11.02362156
0.05600000,10.23621941
0.05700000,10.62992096
0.05800000,10.23621941
0.05900000,8.26771641
0.06000000,12.59842396
0.06100000,9.84251881
0.06200000,13.77952671
0.06300000,11.02362156
0.06400000,10.23621941
0.06500000,11.02362156
0.06600000,9.05511761
0.06700000,10.62992096
0.06800000,11.41732216
0.06900000,8.26771641
0.07000000,12.20472336
0.07100000,10.23621941
0.07200000,11.81102276
0.07300000,10.23621941
0.07400000,9.44881821
0.07500000,9.84251881
0.07600000,11.41732216
0.07700000,9.05511761
0.07800000,12.20472336
0.07900000,7.48031425
0.08000000,11.41732216
0.08100000,12.20472336
