Time,Channel A,Channel B
(us),(V),(V)

-0.51219512,-0.47244096,-2.48031497
0.48780488,-0.43307087,2.36220479
1.48780488,-0.43307087,2.36220479
2.48780487,-0.39370078,2.40157485
3.48780487,-0.35433072,2.36220479
4.48780487,-0.35433072,2.40157485
5.48780487,-0.27559054,2.40157485
6.48780486,-0.27559054,2.40157485
7.48780486,-0.27559054,2.40157485
8.48780486,-0.19685039,2.44094491
9.48780486,-0.19685039,2.44094491
10.48780485,-0.15748031,2.44094491
11.48780485,-0.11811024,2.44094491
12.48780485,-0.07874016,2.44094491
13.48780485,-0.07874016,2.44094491
14.48780484,-0.03937008,2.44094491
15.48780484,0.00000000,2.44094491
16.48780484,0.00000000,2.48031497
17.48780484,0.03937008,2.48031497
18.48780483,0.07874016,2.48031497
19.48780483,0.11811024,2.48031497
20.48780483,0.15748031,2.48031497
21.48780482,0.19685039,2.44094491
22.48780482,0.23622048,2.48031497
23.48780482,0.27559054,2.48031497
24.48780482,0.31496063,2.48031497
25.48780481,0.31496063,2.48031497
26.48780481,0.35433072,2.48031497
27.48780481,0.39370078,2.48031497
28.48780481,0.39370078,2.48031497
29.48780480,0.43307087,2.48031497
30.48780480,0.47244096,2.48031497
31.48780480,0.51181102,2.48031497
32.48780480,0.51181102,2.48031497
33.48780479,0.55118108,2.48031497
34.48780479,0.59055120,2.48031497
35.48780479,0.59055120,2.48031497
36.48780479,0.66929132,2.48031497
37.48780478,0.62992126,2.48031497
38.48780478,0.62992126,2.44094491
39.48780478,0.70866144,2.48031497
40.48780478,0.70866144,2.48031497
41.48780477,0.70866144,2.48031497
42.48780477,0.74803150,2.48031497
43.48780477,0.74803150,2.48031497
44.48780477,0.78740156,2.48031497
45.48780476,0.74803150,2.48031497
46.48780476,0.78740156,2.48031497
47.48780476,0.78740156,2.48031497
48.48780476,0.82677168,2.48031497
49.48780475,0.78740156,2.48031497
50.48780475,0.82677168,2.48031497
51.48780475,0.78740156,2.48031497
52.48780475,0.82677168,2.51968503
53.48780474,0.78740156,2.48031497
54.48780474,0.78740156,2.48031497
55.48780474,0.74803150,2.48031497
56.48780474,0.74803150,2.48031497
57.48780473,0.70866144,2.48031497
58.48780473,0.70866144,2.48031497
59.48780473,0.66929132,2.48031497
60.48780473,0.62992126,2.48031497
61.48780472,0.62992126,2.48031497
62.48780472,0.59055120,2.48031497
63.48780472,0.55118108,-2.36220479
64.48780472,0.55118108,-2.40157485
65.48780471,0.47244096,-2.40157485
66.48780471,0.47244096,-2.40157485
67.48780471,0.43307087,-2.40157485
68.48780471,0.39370078,-2.44094491
69.48780470,0.35433072,-2.40157485
70.48780470,0.31496063,-2.44094491
71.48780470,0.27559054,-2.44094491
72.48780470,0.23622048,-2.44094491
73.48780469,0.19685039,-2.44094491
74.48780469,0.15748031,-2.44094491
75.48780469,0.15748031,-2.48031497
76.48780469,0.11811024,-2.44094491
77.48780468,0.03937008,-2.44094491
78.48780468,0.03937008,-2.44094491
79.48780468,0.00000000,-2.44094491
80.48780468,-0.07874016,-2.44094491
81.48780467,-0.07874016,-2.48031497
82.48780467,-0.11811024,-2.48031497
83.48780467,-0.15748031,-2.48031497
84.48780467,-0.19685039,-2.48031497
85.48780466,-0.23622048,-2.48031497
86.48780466,-0.23622048,-2.48031497
87.48780466,-0.27559054,-2.48031497
88.48780466,-0.27559054,-2.48031497
89.48780465,-0.35433072,-2.48031497
90.48780465,-0.39370078,-2.48031497
91.48780465,-0.39370078,-2.48031497
92.48780465,-0.43307087,-2.48031497
93.48780464,-0.47244096,-2.48031497
94.48780464,-0.47244096,-2.48031497
95.48780464,-0.51181102,-2.48031497
96.48780464,-0.55118108,-2.48031497
97.48780463,-0.55118108,-2.48031497
98.48780463,-0.55118108,-2.48031497
99.48780463,-0.59055120,-2.48031497
100.48780463,-0.59055120,-2.48031497
101.48780462,-0.62992126,-2.48031497
102.48780462,-0.62992126,-2.48031497
103.48780462,-0.62992126,-2.48031497
104.48780462,-0.62992126,-2.48031497
105.48780461,-0.66929132,-2.48031497
106.48780461,-0.66929132,-2.48031497
107.48780461,-0.66929132,-2.48031497
108.48780461,-0.66929132,-2.48031497
109.48780460,-0.66929132,-2.48031497
110.48780460,-0.62992126,-2.48031497
111.48780460,-0.62992126,-2.51968503
112.48780460,-0.62992126,-2.51968503
113.48780459,-0.62992126,-2.51968503
114.48780459,-0.62992126,-2.51968503
115.48780459,-0.62992126,-2.51968503
116.48780459,-0.59055120,-2.48031497
117.48780458,-0.59055120,-2.51968503
118.48780458,-0.55118108,-2.48031497
119.48780458,-0.55118108,-2.48031497
120.48780458,-0.51181102,-2.48031497
121.48780457,-0.51181102,-2.48031497
122.48780457,-0.51181102,-2.51968503
123.48780457,-0.47244096,-2.51968503
124.48780456,-0.43307087,-2.51968503
125.48780456,-0.43307087,2.36220479
126.48780456,-0.43307087,2.32283473
127.48780456,-0.39370078,2.36220479
128.48780455,-0.35433072,2.40157485
129.48780455,-0.35433072,2.40157485
130.48780455,-0.31496063,2.40157485
131.48780455,-0.23622048,2.40157485
132.48780454,-0.23622048,2.40157485
133.48780454,-0.23622048,2.44094491
134.48780454,-0.15748031,2.44094491
135.48780454,-0.15748031,2.48031497
136.48780453,-0.11811024,2.44094491
137.48780453,-0.07874016,2.44094491
138.48780453,-0.03937008,2.48031497
139.48780453,0.00000000,2.44094491
140.48780452,0.03937008,2.44094491
141.48780452,0.07874016,2.44094491
142.48780452,0.07874016,2.44094491
143.48780452,0.11811024,2.44094491
144.48780451,0.15748031,2.44094491
145.48780451,0.19685039,2.48031497
146.48780451,0.19685039,2.48031497
147.48780451,0.27559054,2.44094491
148.48780450,0.27559054,2.44094491
149.48780450,0.35433072,2.48031497
150.48780450,0.39370078,2.44094491
151.48780450,0.39370078,2.48031497
152.48780449,0.43307087,2.48031497
153.48780449,0.47244096,2.48031497
154.48780449,0.47244096,2.48031497
155.48780449,0.51181102,2.48031497
156.48780448,0.55118108,2.48031497
157.48780448,0.55118108,2.48031497
158.48780448,0.59055120,2.44094491
159.48780448,0.59055120,2.48031497
160.48780447,0.62992126,2.48031497
161.48780447,0.66929132,2.48031497
162.48780447,0.66929132,2.48031497
163.48780447,0.70866144,2.51968503
164.48780446,0.74803150,2.48031497
165.48780446,0.74803150,2.48031497
166.48780446,0.74803150,2.48031497
167.48780446,0.74803150,2.48031497
168.48780445,0.78740156,2.48031497
169.48780445,0.78740156,2.48031497
170.48780445,0.82677168,2.48031497
171.48780445,0.82677168,2.48031497
172.48780444,0.82677168,2.48031497
173.48780444,0.82677168,2.48031497
174.48780444,0.82677168,2.48031497
175.48780444,0.82677168,2.48031497
176.48780443,0.82677168,2.48031497
177.48780443,0.82677168,2.48031497
178.48780443,0.82677168,2.48031497
179.48780443,0.78740156,2.51968503
180.48780442,0.78740156,2.48031497
181.48780442,0.78740156,2.48031497
182.48780442,0.74803150,2.48031497
183.48780442,0.74803150,2.48031497
184.48780441,0.70866144,2.48031497
185.48780441,0.66929132,2.48031497
186.48780441,0.62992126,2.48031497
187.48780441,0.59055120,2.51968503
188.48780440,0.59055120,-2.36220479
189.48780440,0.51181102,-2.36220479
190.48780440,0.51181102,-2.40157485
191.48780440,0.43307087,-2.40157485
192.48780439,0.39370078,-2.40157485
193.48780439,0.39370078,-2.40157485
194.48780439,0.31496063,-2.40157485
195.48780439,0.31496063,-2.44094491
196.48780438,0.27559054,-2.44094491
197.48780438,0.19685039,-2.44094491
198.48780438,0.15748031,-2.48031497
199.48780438,0.11811024,-2.44094491
200.48780437,0.11811024,-2.48031497
201.48780437,0.07874016,-2.44094491
202.48780437,0.03937008,-2.44094491
203.48780437,0.00000000,-2.48031497
204.48780436,-0.03937008,-2.48031497
205.48780436,-0.07874016,-2.44094491
206.48780436,-0.11811024,-2.44094491
207.48780436,-0.15748031,-2.48031497
208.48780435,-0.15748031,-2.48031497
209.48780435,-0.23622048,-2.48031497
210.48780435,-0.19685039,-2.48031497
211.48780435,-0.27559054,-2.48031497
212.48780434,-0.27559054,-2.48031497
213.48780434,-0.31496063,-2.48031497
214.48780434,-0.35433072,-2.48031497
215.48780434,-0.39370078,-2.48031497
216.48780433,-0.39370078,-2.48031497
217.48780433,-0.43307087,-2.48031497
218.48780433,-0.43307087,-2.48031497
219.48780433,-0.47244096,-2.48031497
220.48780432,-0.51181102,-2.48031497
221.48780432,-0.51181102,-2.48031497
222.48780432,-0.55118108,-2.48031497
223.48780431,-0.55118108,-2.48031497
224.48780431,-0.59055120,-2.48031497
225.48780431,-0.59055120,-2.48031497
226.48780431,-0.62992126,-2.51968503
227.48780430,-0.62992126,-2.51968503
228.48780430,-0.62992126,-2.48031497
229.48780430,-0.62992126,-2.48031497
230.48780430,-0.66929132,-2.48031497
231.48780429,-0.62992126,-2.48031497
232.48780429,-0.66929132,-2.48031497
233.48780429,-0.66929132,-2.48031497
234.48780429,-0.66929132,-2.48031497
235.48780428,-0.62992126,-2.48031497
236.48780428,-0.62992126,-2.51968503
237.48780428,-0.66929132,-2.48031497
238.48780428,-0.62992126,-2.48031497
239.48780427,-0.66929132,-2.48031497
240.48780427,-0.62992126,-2.51968503
241.48780427,-0.62992126,-2.48031497
242.48780427,-0.59055120,-2.51968503
243.48780426,-0.55118108,-2.51968503
244.48780426,-0.59055120,-2.48031497
245.48780426,-0.55118108,-2.51968503
246.48780426,-0.55118108,-2.51968503
247.48780425,-0.51181102,-2.48031497
248.48780425,-0.51181102,-2.48031497
249.48780425,-0.47244096,-2.48031497
250.48780425,-0.43307087,2.36220479
251.48780424,-0.43307087,2.36220479
252.48780424,-0.39370078,2.36220479
253.48780424,-0.39370078,2.40157485
254.48780424,-0.35433072,2.40157485
255.48780423,-0.31496063,2.40157485
256.48780423,-0.31496063,2.44094491
257.48780423,-0.23622048,2.44094491
258.48780423,-0.23622048,2.44094491
259.48780422,-0.23622048,2.44094491
260.48780422,-0.19685039,2.44094491
261.48780422,-0.15748031,2.44094491
262.48780422,-0.11811024,2.44094491
263.48780421,-0.11811024,2.48031497
264.48780421,-0.03937008,2.44094491
265.48780421,0.00000000,2.44094491
266.48780421,0.03937008,2.48031497
267.48780420,0.03937008,2.48031497
268.48780420,0.07874016,2.48031497
269.48780420,0.11811024,2.48031497
270.48780420,0.15748031,2.48031497
271.48780419,0.19685039,2.48031497
272.48780419,0.23622048,2.44094491
273.48780419,0.23622048,2.48031497
274.48780419,0.27559054,2.48031497
275.48780418,0.31496063,2.48031497
276.48780418,0.35433072,2.48031497
277.48780418,0.39370078,2.48031497
278.48780418,0.39370078,2.48031497
279.48780417,0.47244096,2.48031497
280.48780417,0.47244096,2.48031497
281.48780417,0.51181102,2.44094491
282.48780417,0.55118108,2.48031497
283.48780416,0.55118108,2.48031497
284.48780416,0.59055120,2.48031497
285.48780416,0.59055120,2.48031497
286.48780416,0.62992126,2.48031497
287.48780415,0.62992126,2.48031497
288.48780415,0.66929132,2.48031497
289.48780415,0.66929132,2.48031497
290.48780415,0.70866144,2.48031497
291.48780414,0.74803150,2.51968503
292.48780414,0.74803150,2.48031497
