Time,Channel A,Channel B
(us),(V),(V)

-0.51612903,-0.31496063,-2.51968503
0.48387097,-0.23622048,2.36220479
1.48387096,-0.23622048,2.32283473
2.48387096,-0.15748031,2.36220479
3.48387096,0.00000000,2.36220479
4.48387096,0.00000000,2.40157485
5.48387095,0.15748031,2.40157485
6.48387095,0.23622048,2.40157485
7.48387095,0.31496063,2.40157485
8.48387095,0.39370078,2.40157485
9.48387094,0.47244096,2.44094491
10.48387094,0.55118108,2.44094491
11.48387094,0.62992126,2.44094491
12.48387094,0.70866144,2.44094491
13.48387093,0.78740156,2.44094491
14.48387093,0.86614174,2.48031497
15.48387093,0.94488192,2.44094491
16.48387093,1.02362204,2.44094491
17.48387092,1.10236216,2.48031497
18.48387092,1.18110240,2.48031497
19.48387092,1.25984251,2.48031497
20.48387092,1.33858263,2.48031497
21.48387091,1.41732287,2.48031497
22.48387091,1.41732287,2.44094491
23.48387091,1.49606299,2.48031497
24.48387091,1.57480311,2.48031497
25.48387090,1.65354335,2.44094491
26.48387090,1.65354335,2.48031497
27.48387090,1.73228347,2.44094491
28.48387090,1.73228347,2.48031497
29.48387089,1.81102359,2.44094491
30.48387089,1.81102359,2.48031497
31.48387089,1.81102359,2.48031497
32.48387089,1.81102359,2.48031497
33.48387088,1.88976383,2.44094491
34.48387088,1.81102359,2.48031497
35.48387088,1.88976383,2.48031497
36.48387088,1.88976383,2.48031497
37.48387087,1.88976383,2.48031497
38.48387087,1.88976383,2.48031497
39.48387087,1.88976383,2.48031497
40.48387087,1.81102359,2.48031497
41.48387086,1.81102359,2.48031497
42.48387086,1.81102359,2.48031497
43.48387086,1.81102359,2.51968503
44.48387086,1.73228347,2.48031497
45.48387085,1.65354335,2.48031497
46.48387085,1.65354335,2.48031497
47.48387085,1.57480311,2.48031497
48.48387085,1.49606299,2.48031497
49.48387084,1.41732287,2.48031497
50.48387084,1.41732287,2.48031497
51.48387084,1.33858263,2.48031497
52.48387084,1.18110240,2.48031497
53.48387083,1.18110240,2.48031497
54.48387083,1.10236216,2.48031497
55.48387083,1.02362204,2.48031497
56.48387083,0.86614174,2.48031497
57.48387082,0.78740156,2.48031497
58.48387082,0.70866144,2.48031497
59.48387082,0.62992126,2.48031497
60.48387082,0.55118108,2.48031497
61.48387081,0.47244096,2.51968503
62.48387081,0.31496063,2.48031497
63.48387081,0.23622048,-2.36220479
64.48387081,0.15748031,-2.36220479
65.48387080,0.07874016,-2.36220479
66.48387080,0.00000000,-2.40157485
67.48387080,-0.07874016,-2.40157485
68.48387080,-0.23622048,-2.44094491
69.48387079,-0.31496063,-2.44094491
70.48387079,-0.39370078,-2.44094491
71.48387079,-0.47244096,-2.44094491
72.48387079,-0.55118108,-2.44094491
73.48387078,-0.62992126,-2.44094491
74.48387078,-0.70866144,-2.44094491
75.48387078,-0.78740156,-2.44094491
76.48387078,-0.94488192,-2.44094491
77.48387077,-0.94488192,-2.48031497
78.48387077,-1.02362204,-2.44094491
79.48387077,-1.10236216,-2.44094491
80.48387077,-1.18110240,-2.44094491
81.48387076,-1.25984251,-2.48031497
82.48387076,-1.33858263,-2.48031497
83.48387076,-1.33858263,-2.51968503
84.48387075,-1.41732287,-2.48031497
85.48387075,-1.41732287,-2.44094491
86.48387075,-1.49606299,-2.48031497
87.48387075,-1.57480311,-2.48031497
88.48387074,-1.57480311,-2.48031497
89.48387074,-1.65354335,-2.48031497
90.48387074,-1.65354335,-2.48031497
91.48387074,-1.65354335,-2.48031497
92.48387073,-1.73228347,-2.48031497
93.48387073,-1.73228347,-2.48031497
94.48387073,-1.73228347,-2.48031497
95.48387073,-1.73228347,-2.51968503
96.48387072,-1.73228347,-2.48031497
97.48387072,-1.73228347,-2.51968503
98.48387072,-1.73228347,-2.48031497
99.48387072,-1.73228347,-2.48031497
100.48387071,-1.73228347,-2.48031497
101.48387071,-1.73228347,-2.48031497
102.48387071,-1.65354335,-2.48031497
103.48387071,-1.65354335,-2.48031497
104.48387070,-1.65354335,-2.48031497
105.48387070,-1.57480311,-2.48031497
106.48387070,-1.57480311,-2.48031497
107.48387070,-1.49606299,-2.48031497
108.48387069,-1.49606299,-2.51968503
109.48387069,-1.41732287,-2.51968503
110.48387069,-1.33858263,-2.48031497
111.48387069,-1.33858263,-2.51968503
112.48387068,-1.25984251,-2.48031497
113.48387068,-1.18110240,-2.48031497
114.48387068,-1.18110240,-2.51968503
115.48387068,-1.10236216,-2.51968503
116.48387067,-1.02362204,-2.48031497
117.48387067,-0.94488192,-2.51968503
118.48387067,-0.94488192,-2.48031497
119.48387067,-0.78740156,-2.51968503
120.48387066,-0.78740156,-2.48031497
121.48387066,-0.70866144,-2.51968503
122.48387066,-0.62992126,-2.51968503
123.48387066,-0.47244096,-2.48031497
124.48387065,-0.39370078,-2.48031497
125.48387065,-0.39370078,2.32283473
126.48387065,-0.23622048,2.36220479
127.48387065,-0.15748031,2.36220479
128.48387064,-0.07874016,2.36220479
129.48387064,0.00000000,2.36220479
130.48387064,0.07874016,2.40157485
131.48387064,0.15748031,2.40157485
132.48387063,0.23622048,2.44094491
133.48387063,0.31496063,2.44094491
134.48387063,0.47244096,2.44094491
135.48387063,0.55118108,2.40157485
136.48387062,0.62992126,2.44094491
137.48387062,0.70866144,2.44094491
138.48387062,0.78740156,2.44094491
139.48387062,0.86614174,2.44094491
140.48387061,0.94488192,2.48031497
141.48387061,1.02362204,2.48031497
142.48387061,1.10236216,2.48031497
143.48387061,1.18110240,2.48031497
144.48387060,1.25984251,2.48031497
145.48387060,1.33858263,2.48031497
146.48387060,1.33858263,2.48031497
147.48387060,1.49606299,2.48031497
148.48387059,1.49606299,2.48031497
149.48387059,1.57480311,2.44094491
150.48387059,1.65354335,2.48031497
151.48387059,1.65354335,2.48031497
152.48387058,1.73228347,2.48031497
153.48387058,1.73228347,2.48031497
154.48387058,1.81102359,2.51968503
155.48387058,1.81102359,2.48031497
156.48387057,1.81102359,2.48031497
157.48387057,1.88976383,2.48031497
158.48387057,1.88976383,2.48031497
159.48387057,1.88976383,2.48031497
160.48387056,1.88976383,2.48031497
161.48387056,1.88976383,2.48031497
162.48387056,1.88976383,2.48031497
163.48387056,1.88976383,2.48031497
164.48387055,1.88976383,2.48031497
165.48387055,1.88976383,2.48031497
166.48387055,1.88976383,2.48031497
167.48387055,1.81102359,2.48031497
168.48387054,1.81102359,2.48031497
169.48387054,1.81102359,2.48031497
170.48387054,1.73228347,2.48031497
171.48387054,1.65354335,2.48031497
172.48387053,1.65354335,2.48031497
173.48387053,1.57480311,2.48031497
174.48387053,1.49606299,2.51968503
175.48387053,1.41732287,2.48031497
176.48387052,1.33858263,2.48031497
177.48387052,1.25984251,2.48031497
178.48387052,1.18110240,2.48031497
179.48387052,1.10236216,2.48031497
180.48387051,1.02362204,2.48031497
181.48387051,0.94488192,2.48031497
182.48387051,0.78740156,2.48031497
183.48387050,0.70866144,2.48031497
184.48387050,0.62992126,2.48031497
185.48387050,0.55118108,2.48031497
186.48387050,0.39370078,2.48031497
187.48387049,0.31496063,2.48031497
188.48387049,0.23622048,-2.36220479
189.48387049,0.07874016,-2.36220479
190.48387049,0.00000000,-2.36220479
191.48387048,0.00000000,-2.40157485
192.48387048,-0.15748031,-2.40157485
193.48387048,-0.23622048,-2.40157485
194.48387048,-0.31496063,-2.44094491
195.48387047,-0.47244096,-2.44094491
196.48387047,-0.55118108,-2.48031497
197.48387047,-0.62992126,-2.44094491
198.48387047,-0.70866144,-2.44094491
199.48387046,-0.78740156,-2.48031497
200.48387046,-0.86614174,-2.44094491
201.48387046,-0.94488192,-2.44094491
202.48387046,-1.02362204,-2.44094491
203.48387045,-1.10236216,-2.48031497
204.48387045,-1.18110240,-2.48031497
205.48387045,-1.25984251,-2.48031497
206.48387045,-1.33858263,-2.48031497
207.48387044,-1.41732287,-2.44094491
208.48387044,-1.41732287,-2.48031497
209.48387044,-1.49606299,-2.48031497
210.48387044,-1.49606299,-2.48031497
211.48387043,-1.57480311,-2.48031497
212.48387043,-1.65354335,-2.48031497
213.48387043,-1.65354335,-2.48031497
214.48387043,-1.65354335,-2.48031497
215.48387042,-1.73228347,-2.48031497
216.48387042,-1.73228347,-2.48031497
217.48387042,-1.73228347,-2.48031497
218.48387042,-1.73228347,-2.48031497
219.48387041,-1.73228347,-2.51968503
220.48387041,-1.81102359,-2.48031497
221.48387041,-1.81102359,-2.48031497
222.48387041,-1.73228347,-2.51968503
223.48387040,-1.73228347,-2.48031497
224.48387040,-1.73228347,-2.51968503
225.48387040,-1.73228347,-2.48031497
226.48387040,-1.73228347,-2.48031497
227.48387039,-1.65354335,-2.51968503
228.48387039,-1.65354335,-2.48031497
229.48387039,-1.57480311,-2.48031497
230.48387039,-1.57480311,-2.48031497
231.48387038,-1.49606299,-2.48031497
232.48387038,-1.49606299,-2.51968503
233.48387038,-1.41732287,-2.48031497
234.48387038,-1.41732287,-2.48031497
235.48387037,-1.33858263,-2.48031497
236.48387037,-1.25984251,-2.48031497
237.48387037,-1.25984251,-2.48031497
238.48387037,-1.18110240,-2.51968503
239.48387036,-1.10236216,-2.48031497
240.48387036,-1.02362204,-2.48031497
241.48387036,-0.94488192,-2.48031497
242.48387036,-0.86614174,-2.48031497
243.48387035,-0.78740156,-2.51968503
244.48387035,-0.70866144,-2.48031497
245.48387035,-0.70866144,-2.48031497
246.48387035,-0.55118108,-2.51968503
247.48387034,-0.47244096,-2.51968503
248.48387034,-0.39370078,-2.48031497
249.48387034,-0.31496063,-2.51968503
250.48387034,-0.23622048,2.32283473
251.48387033,-0.15748031,2.36220479
252.48387033,-0.07874016,2.36220479
253.48387033,0.00000000,2.36220479
254.48387033,0.07874016,2.40157485
255.48387032,0.15748031,2.40157485
256.48387032,0.23622048,2.44094491
257.48387032,0.31496063,2.44094491
258.48387032,0.39370078,2.44094491
259.48387031,0.47244096,2.44094491
260.48387031,0.55118108,2.44094491
261.48387031,0.62992126,2.44094491
262.48387031,0.78740156,2.44094491
263.48387030,0.86614174,2.44094491
264.48387030,0.94488192,2.44094491
265.48387030,1.02362204,2.44094491
266.48387030,1.10236216,2.44094491
267.48387029,1.10236216,2.44094491
268.48387029,1.18110240,2.44094491
269.48387029,1.25984251,2.48031497
270.48387029,1.33858263,2.48031497
271.48387028,1.41732287,2.44094491
272.48387028,1.41732287,2.44094491
273.48387028,1.49606299,2.44094491
274.48387028,1.57480311,2.48031497
275.48387027,1.65354335,2.48031497
276.48387027,1.65354335,2.48031497
277.48387027,1.73228347,2.48031497
278.48387027,1.73228347,2.48031497
279.48387026,1.73228347,2.48031497
280.48387026,1.81102359,2.48031497
281.48387026,1.81102359,2.48031497
282.48387026,1.81102359,2.48031497
283.48387025,1.81102359,2.48031497
284.48387025,1.88976383,2.48031497
285.48387025,1.81102359,2.44094491
286.48387024,1.88976383,2.48031497
287.48387024,1.81102359,2.48031497
288.48387024,1.88976383,2.48031497
289.48387024,1.81102359,2.48031497
290.48387023,1.81102359,2.48031497
291.48387023,1.81102359,2.48031497
292.48387023,1.81102359,2.48031497
