Time,Channel A,Channel B
(us),(V),(V)

-0.51612903,1.73228347,-2.51968503
0.48387097,2.20472431,2.36220479
1.48387096,2.12598419,2.36220479
2.48387096,2.36220479,2.36220479
3.48387096,2.51968503,2.40157485
4.48387096,2.67716527,2.40157485
5.48387095,2.83464575,2.40157485
6.48387095,2.99212599,2.44094491
7.48387095,3.14960623,2.40157485
8.48387095,3.30708671,2.44094491
9.48387094,3.46456695,2.40157485
10.48387094,3.62204719,2.44094491
11.48387094,3.85826778,2.40157485
12.48387094,4.01574802,2.48031497
13.48387093,4.25196838,2.44094491
14.48387093,4.40944862,2.44094491
15.48387093,4.64566946,2.44094491
16.48387093,4.88188982,2.44094491
17.48387092,5.03937006,2.44094491
18.48387092,5.27559042,2.48031497
19.48387092,5.51181078,2.48031497
20.48387092,5.66929150,2.48031497
21.48387091,5.90551186,2.44094491
22.48387091,6.06299210,2.44094491
23.48387091,6.22047234,2.48031497
24.48387091,6.37795258,2.48031497
25.48387090,6.61417341,2.48031497
26.48387090,6.77165365,2.44094491
27.48387090,6.92913389,2.48031497
28.48387090,7.08661413,2.44094491
29.48387089,7.24409437,2.44094491
30.48387089,7.32283449,2.48031497
31.48387089,7.48031473,2.48031497
32.48387089,7.55905533,2.48031497
33.48387088,7.63779545,2.48031497
34.48387088,7.79527569,2.48031497
35.48387088,7.87401581,2.44094491
36.48387088,7.95275593,2.48031497
37.48387087,8.03149605,2.48031497
38.48387087,8.03149605,2.51968503
39.48387087,8.11023617,2.48031497
40.48387087,8.11023617,2.48031497
41.48387086,8.11023617,2.48031497
42.48387086,8.03149605,2.48031497
43.48387086,7.95275593,2.48031497
44.48387086,7.87401581,2.48031497
45.48387085,7.71653557,2.48031497
46.48387085,7.55905533,2.48031497
47.48387085,7.32283449,2.48031497
48.48387085,7.16535425,2.48031497
49.48387084,6.85039377,2.48031497
50.48387084,6.53543282,2.48031497
51.48387084,6.22047234,2.48031497
52.48387084,5.82677174,2.48031497
53.48387083,5.51181078,2.48031497
54.48387083,5.03937006,2.48031497
55.48387083,4.64566946,2.48031497
56.48387083,4.17322826,2.51968503
57.48387082,3.70078731,2.48031497
58.48387082,3.14960623,2.51968503
59.48387082,2.59842515,2.48031497
60.48387082,2.04724407,2.48031497
61.48387081,1.49606299,2.48031497
62.48387081,0.86614174,-2.36220479
63.48387081,0.23622048,-2.40157485
64.48387081,-0.39370078,-2.40157485
65.48387080,-1.02362204,-2.40157485
66.48387080,-1.73228347,-2.40157485
67.48387080,-2.44094491,-2.40157485
68.48387080,-3.30708671,-2.40157485
69.48387079,-4.09448814,-2.44094491
70.48387079,-4.96062994,-2.44094491
71.48387079,-5.66929150,-2.44094491
72.48387079,-6.37795258,-2.44094491
73.48387078,-7.00787401,-2.44094491
74.48387078,-7.63779545,-2.44094491
75.48387078,-8.11023617,-2.48031497
76.48387078,-8.58267689,-2.48031497
77.48387077,-8.89763737,-2.48031497
78.48387077,-9.29133892,-2.44094491
79.48387077,-9.52755928,-2.48031497
80.48387077,-9.76377964,-2.48031497
81.48387076,-∞,-2.48031497
82.48387076,-∞,-2.48031497
83.48387076,-∞,-2.51968503
84.48387075,-∞,-2.48031497
85.48387075,-∞,-2.48031497
86.48387075,-∞,-2.48031497
87.48387075,-∞,-2.51968503
88.48387074,-∞,-2.51968503
89.48387074,-∞,-2.48031497
90.48387074,-∞,-2.48031497
91.48387074,-9.84251976,-2.48031497
92.48387073,-9.60629940,-2.48031497
93.48387073,-9.29133892,-2.48031497
94.48387073,-9.05511761,-2.48031497
95.48387073,-8.74015713,-2.48031497
96.48387072,-8.42519665,-2.48031497
97.48387072,-8.11023617,-2.51968503
98.48387072,-7.79527569,-2.48031497
99.48387072,-7.40157461,-2.48031497
100.48387071,-7.00787401,-2.48031497
101.48387071,-6.69291353,-2.48031497
102.48387071,-6.22047234,-2.48031497
103.48387071,-5.90551186,-2.48031497
104.48387070,-5.51181078,-2.48031497
105.48387070,-5.11811018,-2.51968503
106.48387070,-4.72440958,-2.51968503
107.48387070,-4.25196838,-2.48031497
108.48387069,-3.85826778,-2.48031497
109.48387069,-3.46456695,-2.51968503
110.48387069,-3.07086611,-2.51968503
111.48387069,-2.67716527,-2.51968503
112.48387068,-2.36220479,-2.51968503
113.48387068,-1.88976383,-2.48031497
114.48387068,-1.57480311,-2.48031497
115.48387068,-1.18110240,-2.51968503
116.48387067,-0.86614174,-2.48031497
117.48387067,-0.47244096,-2.51968503
118.48387067,-0.15748031,-2.51968503
119.48387067,0.15748031,-2.51968503
120.48387066,0.47244096,-2.48031497
121.48387066,0.78740156,-2.48031497
122.48387066,1.10236216,-2.48031497
123.48387066,1.33858263,-2.51968503
124.48387065,1.65354335,-2.51968503
125.48387065,2.12598419,2.32283473
126.48387065,2.04724407,2.36220479
127.48387065,2.28346467,2.40157485
128.48387064,2.44094491,2.40157485
129.48387064,2.59842515,2.40157485
130.48387064,2.75590539,2.44094491
131.48387064,2.91338587,2.40157485
132.48387063,3.07086611,2.44094491
133.48387063,3.22834635,2.44094491
134.48387063,3.38582683,2.44094491
135.48387063,3.62204719,2.44094491
136.48387062,3.77952766,2.44094491
137.48387062,4.01574802,2.40157485
138.48387062,4.25196838,2.44094491
139.48387062,4.40944862,2.44094491
140.48387061,4.64566946,2.48031497
141.48387061,4.80314970,2.48031497
142.48387061,5.03937006,2.48031497
143.48387061,5.27559042,2.44094491
144.48387060,5.43307066,2.44094491
145.48387060,5.66929150,2.44094491
146.48387060,5.90551186,2.48031497
147.48387060,6.06299210,2.44094491
148.48387059,6.22047234,2.48031497
149.48387059,6.45669270,2.44094491
150.48387059,6.61417341,2.48031497
151.48387059,6.77165365,2.48031497
152.48387058,6.92913389,2.48031497
153.48387058,7.08661413,2.48031497
154.48387058,7.16535425,2.48031497
155.48387058,7.32283449,2.48031497
156.48387057,7.48031473,2.48031497
157.48387057,7.55905533,2.48031497
158.48387057,7.71653557,2.48031497
159.48387057,7.79527569,2.48031497
160.48387056,7.87401581,2.48031497
161.48387056,7.87401581,2.48031497
162.48387056,7.95275593,2.48031497
163.48387056,8.03149605,2.48031497
164.48387055,8.03149605,2.48031497
165.48387055,8.11023617,2.48031497
166.48387055,8.11023617,2.48031497
167.48387055,8.03149605,2.48031497
168.48387054,7.95275593,2.48031497
169.48387054,7.87401581,2.48031497
170.48387054,7.71653557,2.48031497
171.48387054,7.55905533,2.48031497
172.48387053,7.40157461,2.48031497
173.48387053,7.16535425,2.48031497
174.48387053,6.85039377,2.51968503
175.48387053,6.53543282,2.48031497
176.48387052,6.22047234,2.48031497
177.48387052,5.90551186,2.48031497
178.48387052,5.51181078,2.48031497
179.48387052,5.11811018,2.48031497
180.48387051,4.64566946,2.48031497
181.48387051,4.25196838,2.48031497
182.48387051,3.70078731,2.48031497
183.48387050,3.14960623,2.48031497
184.48387050,2.59842515,2.51968503
185.48387050,2.04724407,2.48031497
186.48387050,1.41732287,2.48031497
187.48387049,0.86614174,-2.36220479
188.48387049,0.23622048,-2.36220479
189.48387049,-0.31496063,-2.40157485
190.48387049,-1.02362204,-2.40157485
191.48387048,-1.73228347,-2.44094491
192.48387048,-2.51968503,-2.40157485
193.48387048,-3.30708671,-2.44094491
194.48387048,-4.17322826,-2.44094491
195.48387047,-4.96062994,-2.44094491
196.48387047,-5.66929150,-2.44094491
197.48387047,-6.37795258,-2.48031497
198.48387047,-7.00787401,-2.44094491
199.48387046,-7.63779545,-2.44094491
200.48387046,-8.11023617,-2.44094491
201.48387046,-8.50393677,-2.48031497
202.48387046,-8.89763737,-2.44094491
203.48387045,-9.29133892,-2.48031497
204.48387045,-9.52755928,-2.48031497
205.48387045,-9.76377964,-2.48031497
206.48387045,-∞,-2.48031497
207.48387044,-∞,-2.48031497
208.48387044,-∞,-2.48031497
209.48387044,-∞,-2.51968503
210.48387044,-∞,-2.48031497
211.48387043,-∞,-2.51968503
212.48387043,-∞,-2.48031497
213.48387043,-∞,-2.48031497
214.48387043,-∞,-2.48031497
215.48387042,-9.92125988,-2.48031497
216.48387042,-9.76377964,-2.44094491
217.48387042,-9.52755928,-2.48031497
218.48387042,-9.29133892,-2.48031497
219.48387041,-8.97637749,-2.48031497
220.48387041,-8.74015713,-2.48031497
221.48387041,-8.42519665,-2.48031497
222.48387041,-8.03149605,-2.48031497
223.48387040,-7.71653557,-2.51968503
224.48387040,-7.32283449,-2.48031497
225.48387040,-7.00787401,-2.51968503
226.48387040,-6.61417341,-2.51968503
227.48387039,-6.22047234,-2.51968503
228.48387039,-5.90551186,-2.48031497
229.48387039,-5.43307066,-2.51968503
230.48387039,-5.03937006,-2.48031497
231.48387038,-4.64566946,-2.48031497
232.48387038,-4.25196838,-2.48031497
233.48387038,-3.85826778,-2.51968503
234.48387038,-3.46456695,-2.51968503
235.48387037,-3.07086611,-2.51968503
236.48387037,-2.67716527,-2.48031497
237.48387037,-2.28346467,-2.51968503
238.48387037,-1.88976383,-2.48031497
239.48387036,-1.57480311,-2.48031497
240.48387036,-1.18110240,-2.51968503
241.48387036,-0.78740156,-2.51968503
242.48387036,-0.47244096,-2.48031497
243.48387035,-0.15748031,-2.48031497
244.48387035,0.23622048,-2.48031497
245.48387035,0.47244096,-2.51968503
246.48387035,0.78740156,-2.51968503
247.48387034,1.10236216,-2.51968503
248.48387034,1.33858263,-2.48031497
249.48387034,1.65354335,-2.48031497
250.48387034,2.12598419,2.36220479
251.48387033,2.04724407,2.36220479
252.48387033,2.28346467,2.36220479
253.48387033,2.44094491,2.36220479
254.48387033,2.59842515,2.40157485
255.48387032,2.75590539,2.40157485
256.48387032,2.91338587,2.44094491
257.48387032,3.07086611,2.44094491
258.48387032,3.22834635,2.44094491
259.48387031,3.46456695,2.44094491
260.48387031,3.62204719,2.44094491
261.48387031,3.77952766,2.44094491
262.48387031,4.01574802,2.44094491
263.48387030,4.25196838,2.44094491
264.48387030,4.40944862,2.44094491
265.48387030,4.64566946,2.48031497
266.48387030,4.80314970,2.48031497
267.48387029,5.03937006,2.44094491
268.48387029,5.27559042,2.44094491
269.48387029,5.51181078,2.44094491
270.48387029,5.66929150,2.48031497
271.48387028,5.90551186,2.48031497
272.48387028,6.06299210,2.48031497
273.48387028,6.29921246,2.48031497
274.48387028,6.45669270,2.48031497
275.48387027,6.61417341,2.48031497
276.48387027,6.77165365,2.48031497
277.48387027,6.92913389,2.48031497
278.48387027,7.08661413,2.48031497
279.48387026,7.24409437,2.48031497
280.48387026,7.32283449,2.48031497
281.48387026,7.48031473,2.48031497
282.48387026,7.55905533,2.48031497
283.48387025,7.71653557,2.48031497
284.48387025,7.79527569,2.48031497
285.48387025,7.87401581,2.48031497
286.48387024,7.95275593,2.48031497
287.48387024,8.03149605,2.48031497
288.48387024,8.03149605,2.48031497
289.48387024,8.11023617,2.44094491
290.48387023,8.11023617,2.51968503
291.48387023,8.11023617,2.51968503
292.48387023,8.03149605,2.48031497
293.48387023,7.95275593,2.48031497
294.48387022,7.87401581,2.48031497
295.48387022,7.71653557,2.48031497
296.48387022,7.48031473,2.48031497
