Time,Channel A,Channel B
(ms),(V),(V)

-0.00151639,0.00000000,-2.51968503
-0.00051639,-0.07874016,-2.48031497
0.00048361,-0.31496063,2.32283473
0.00148361,1.02362204,2.32283473
0.00248361,0.55118108,2.36220479
0.00348361,0.62992126,2.40157485
0.00448361,0.78740156,2.36220479
0.00548361,0.94488192,2.44094491
0.00648361,1.10236216,2.44094491
0.00748361,1.33858263,2.40157485
0.00848361,1.65354335,2.40157485
0.00948361,1.88976383,2.44094491
0.01048361,2.12598419,2.44094491
0.01148361,2.44094491,2.44094491
0.01248361,2.67716527,2.44094491
0.01348361,2.91338587,2.44094491
0.01448361,3.14960623,2.48031497
0.01548361,3.38582683,2.44094491
0.01648361,3.54330707,2.48031497
0.01748361,3.85826778,2.44094491
0.01848361,4.09448814,2.44094491
0.01948361,4.40944862,2.48031497
0.02048361,4.64566946,2.48031497
0.02148361,4.88188982,2.48031497
0.02248361,5.11811018,2.44094491
0.02348361,5.35433054,2.48031497
0.02448361,5.51181078,2.48031497
0.02548361,5.66929150,2.48031497
0.02648361,5.74803162,2.44094491
0.02748361,5.90551186,2.48031497
0.02848361,5.98425198,2.48031497
0.02948361,5.98425198,2.48031497
0.03048361,6.06299210,2.44094491
0.03148361,5.98425198,2.48031497
0.03248361,5.98425198,2.48031497
0.03348361,5.98425198,2.48031497
0.03448361,5.90551186,2.48031497
0.03548361,5.82677174,2.48031497
0.03648361,5.74803162,2.44094491
0.03748361,5.66929150,2.48031497
0.03848361,5.59055138,2.48031497
0.03948361,5.51181078,2.48031497
0.04048361,5.35433054,2.48031497
0.04148361,5.19685030,2.48031497
0.04248361,4.96062994,2.51968503
0.04348361,4.72440958,2.48031497
0.04448361,4.48818874,2.48031497
0.04548361,4.17322826,2.48031497
0.04648361,3.77952766,2.48031497
0.04748361,3.38582683,2.48031497
0.04848361,2.99212599,2.48031497
0.04948361,2.59842515,2.48031497
0.05048361,2.12598419,2.51968503
0.05148361,1.65354335,2.48031497
0.05248361,1.18110240,2.48031497
0.05348361,0.70866144,2.48031497
0.05448361,0.23622048,2.48031497
0.05548361,-0.23622048,2.51968503
0.05648361,-0.70866144,2.48031497
0.05748361,-1.18110240,2.48031497
0.05848361,-1.65354335,2.51968503
0.05948361,-2.12598419,2.48031497
0.06048361,-2.51968503,2.48031497
0.06148361,-3.07086611,2.51968503
0.06248361,-3.46456695,2.48031497
0.06348361,0.15748031,-2.36220479
0.06448361,4.33070850,-2.40157485
0.06548361,4.88188982,-2.40157485
0.06648361,5.35433054,-2.40157485
0.06748361,5.74803162,-2.44094491
0.06848361,6.14173222,-2.44094491
0.06948361,6.37795258,-2.44094491
0.07048361,6.53543282,-2.44094491
0.07148361,6.53543282,-2.44094491
0.07248361,6.45669270,-2.44094491
0.07348361,6.37795258,-2.44094491
0.07448361,6.29921246,-2.44094491
0.07548361,6.14173222,-2.44094491
0.07648361,5.90551186,-2.48031497
0.07748361,5.74803162,-2.48031497
0.07848361,5.51181078,-2.48031497
0.07948361,5.27559042,-2.48031497
0.08048361,5.03937006,-2.48031497
0.08148361,4.88188982,-2.48031497
0.08248361,4.64566946,-2.48031497
0.08348361,4.48818874,-2.48031497
0.08448361,4.33070850,-2.48031497
0.08548361,4.17322826,-2.48031497
0.08648361,3.93700790,-2.48031497
0.08748361,3.93700790,-2.48031497
0.08848361,3.77952766,-2.48031497
0.08948361,3.62204719,-2.48031497
0.09048361,3.54330707,-2.48031497
0.09148361,3.46456695,-2.48031497
0.09248361,3.30708671,-2.51968503
0.09348361,3.14960623,-2.48031497
0.09448361,3.07086611,-2.48031497
0.09548361,2.83464575,-2.48031497
0.09648361,2.67716527,-2.48031497
0.09748361,2.51968503,-2.51968503
0.09848361,2.28346467,-2.48031497
0.09948361,2.12598419,-2.48031497
0.10048361,1.96850395,-2.48031497
0.10148361,1.81102359,-2.51968503
0.10248361,1.65354335,-2.51968503
0.10348361,1.57480311,-2.48031497
0.10448361,1.41732287,-2.51968503
0.10548361,1.33858263,-2.48031497
0.10648361,1.33858263,-2.48031497
0.10748361,1.25984251,-2.48031497
0.10848361,1.18110240,-2.48031497
0.10948361,1.18110240,-2.51968503
0.11048361,1.10236216,-2.48031497
0.11148361,1.02362204,-2.51968503
0.11248361,0.94488192,-2.51968503
0.11348361,0.78740156,-2.48031497
0.11448361,0.70866144,-2.51968503
0.11548361,0.55118108,-2.51968503
0.11648361,0.47244096,-2.48031497
0.11748361,0.31496063,-2.51968503
0.11848361,0.15748031,-2.51968503
0.11948361,0.07874016,-2.51968503
