Time,Channel A,Channel B
(us),(V),(V)

-0.50000000,-0.07874016,-2.48031497
0.50000000,0.07874016,-2.48031497
1.50000000,0.23622048,-2.51968503
2.49999999,0.39370078,-2.48031497
3.49999999,0.62992126,-2.48031497
4.49999999,0.70866144,-2.48031497
5.49999999,0.94488192,-2.48031497
6.49999998,1.10236216,-2.51968503
7.49999998,1.25984251,-2.51968503
8.49999998,1.49606299,-2.48031497
9.49999998,1.65354335,-2.48031497
10.49999997,1.81102359,-2.48031497
11.49999997,1.96850395,-2.48031497
12.49999997,2.12598419,-2.51968503
13.49999997,2.20472431,-2.51968503
14.49999996,2.28346467,-2.48031497
15.49999996,2.36220479,-2.51968503
16.49999996,2.44094491,-2.51968503
17.49999996,2.44094491,-2.48031497
18.49999995,2.44094491,-2.51968503
19.49999995,2.44094491,-2.51968503
20.49999995,2.44094491,-2.51968503
21.49999995,2.36220479,-2.51968503
22.49999994,2.36220479,-2.51968503
23.49999994,2.28346467,-2.51968503
24.49999994,2.20472431,-2.51968503
25.49999994,2.20472431,-2.48031497
26.49999993,2.28346467,-2.51968503
27.49999993,2.28346467,-2.48031497
28.49999993,2.28346467,-2.48031497
29.49999993,2.28346467,2.32283473
30.49999992,2.20472431,2.36220479
31.49999992,2.28346467,2.36220479
32.49999992,2.28346467,2.36220479
33.49999992,2.28346467,2.36220479
34.49999991,2.44094491,2.44094491
35.49999991,2.59842515,2.44094491
36.49999991,2.91338587,2.44094491
37.49999991,3.14960623,2.44094491
38.49999990,3.38582683,2.44094491
39.49999990,3.62204719,2.44094491
40.49999990,3.77952766,2.44094491
41.49999990,3.85826778,2.44094491
42.49999989,4.01574802,2.48031497
43.49999989,4.09448814,2.44094491
44.49999989,4.17322826,2.44094491
45.49999989,4.25196838,2.48031497
46.49999988,4.40944862,2.44094491
47.49999988,4.56692934,2.48031497
48.49999988,4.72440958,2.44094491
49.49999988,4.80314970,2.44094491
50.49999987,4.88188982,2.44094491
51.49999987,4.96062994,2.48031497
52.49999987,5.03937006,2.44094491
53.49999987,5.03937006,2.48031497
54.49999986,4.96062994,2.44094491
55.49999986,4.96062994,2.48031497
56.49999986,4.96062994,2.44094491
57.49999986,4.80314970,2.48031497
58.49999985,4.72440958,2.48031497
59.49999985,4.56692934,2.48031497
60.49999985,4.40944862,2.48031497
61.49999985,4.17322826,2.48031497
62.49999984,3.93700790,2.48031497
63.49999984,3.70078731,2.48031497
64.49999984,3.46456695,2.48031497
65.49999984,3.22834635,2.48031497
66.49999983,2.99212599,2.44094491
67.49999983,2.67716527,2.48031497
68.49999983,2.44094491,2.48031497
69.49999983,2.12598419,2.51968503
70.49999982,1.88976383,2.48031497
71.49999982,1.57480311,2.51968503
72.49999982,1.25984251,2.48031497
73.49999982,0.86614174,2.48031497
74.49999981,0.55118108,2.48031497
75.49999981,0.15748031,2.48031497
76.49999981,-0.23622048,2.48031497
77.49999981,-0.62992126,2.51968503
78.49999980,-1.02362204,2.48031497
79.49999980,-1.49606299,2.48031497
80.49999980,-1.96850395,2.48031497
81.49999980,-2.44094491,2.48031497
82.49999979,-2.91338587,2.48031497
83.49999979,-3.38582683,2.48031497
84.49999979,-3.85826778,2.48031497
85.49999979,-4.25196838,2.48031497
86.49999978,-4.64566946,2.48031497
87.49999978,-5.03937006,2.48031497
88.49999978,-5.35433054,2.48031497
89.49999978,-5.66929150,2.48031497
90.49999977,-5.90551186,2.48031497
91.49999977,-6.29921246,-2.00787401
92.49999977,-6.45669270,-2.36220479
93.49999977,-6.77165365,-2.36220479
94.49999976,-6.92913389,-2.36220479
95.49999976,-7.08661413,-2.40157485
96.49999976,-7.16535425,-2.44094491
97.49999976,-7.24409437,-2.44094491
98.49999975,-7.16535425,-2.44094491
99.49999975,-7.00787401,-2.44094491
100.49999975,-6.85039377,-2.44094491
101.49999974,-6.77165365,-2.48031497
102.49999974,-6.61417341,-2.48031497
103.49999974,-6.45669270,-2.44094491
104.49999974,-6.22047234,-2.48031497
105.49999973,-6.06299210,-2.48031497
106.49999973,-5.82677174,-2.48031497
107.49999973,-5.51181078,-2.44094491
108.49999973,-5.19685030,-2.48031497
109.49999972,-4.88188982,-2.48031497
110.49999972,-4.56692934,-2.48031497
111.49999972,-4.17322826,-2.48031497
112.49999972,-3.85826778,-2.48031497
113.49999971,-3.46456695,-2.48031497
114.49999971,-3.14960623,-2.48031497
115.49999971,-2.83464575,-2.48031497
116.49999971,-2.51968503,-2.48031497
117.49999970,-2.20472431,-2.48031497
118.49999970,-1.88976383,-2.48031497
119.49999970,-1.65354335,-2.48031497
120.49999970,-1.41732287,-2.48031497
121.49999969,-1.18110240,-2.48031497
122.49999969,-0.94488192,-2.48031497
123.49999969,-0.78740156,-2.48031497
124.49999969,-0.55118108,-2.48031497
125.49999968,-0.39370078,-2.48031497
126.49999968,-0.15748031,-2.48031497
127.49999968,0.00000000,-2.48031497
128.49999968,0.23622048,-2.48031497
129.49999967,0.47244096,-2.51968503
130.49999967,0.70866144,-2.48031497
131.49999967,0.86614174,-2.48031497
132.49999967,1.10236216,-2.48031497
133.49999966,1.33858263,-2.51968503
134.49999966,1.49606299,-2.48031497
135.49999966,1.65354335,-2.48031497
136.49999966,1.81102359,-2.48031497
137.49999965,1.88976383,-2.48031497
138.49999965,1.96850395,-2.48031497
139.49999965,2.04724407,-2.48031497
140.49999965,2.12598419,-2.51968503
141.49999964,2.12598419,-2.51968503
142.49999964,2.12598419,-2.51968503
143.49999964,2.12598419,-2.51968503
144.49999964,2.12598419,-2.51968503
145.49999963,2.12598419,-2.48031497
146.49999963,2.12598419,-2.51968503
147.49999963,2.12598419,-2.51968503
148.49999963,2.12598419,-2.51968503
149.49999962,2.20472431,-2.51968503
150.49999962,2.20472431,-2.51968503
151.49999962,2.28346467,-2.51968503
152.49999962,2.28346467,-2.51968503
153.49999961,2.36220479,-2.48031497
154.49999961,2.36220479,2.36220479
155.49999961,2.36220479,2.36220479
156.49999961,2.36220479,2.36220479
157.49999960,2.28346467,2.40157485
158.49999960,2.36220479,2.40157485
159.49999960,2.51968503,2.40157485
160.49999960,2.67716527,2.44094491
161.49999959,2.91338587,2.40157485
162.49999959,3.14960623,2.44094491
163.49999959,3.38582683,2.44094491
164.49999959,3.54330707,2.44094491
165.49999958,3.70078731,2.44094491
166.49999958,3.93700790,2.44094491
167.49999958,4.01574802,2.44094491
168.49999958,4.17322826,2.44094491
169.49999957,4.33070850,2.44094491
170.49999957,4.48818874,2.44094491
171.49999957,4.64566946,2.48031497
172.49999957,4.80314970,2.48031497
173.49999956,4.96062994,2.48031497
174.49999956,5.03937006,2.44094491
175.49999956,5.11811018,2.48031497
176.49999956,5.19685030,2.44094491
177.49999955,5.27559042,2.48031497
178.49999955,5.27559042,2.48031497
179.49999955,5.19685030,2.48031497
180.49999955,5.19685030,2.44094491
181.49999954,5.11811018,2.48031497
182.49999954,4.96062994,2.48031497
183.49999954,4.80314970,2.48031497
184.49999954,4.64566946,2.48031497
185.49999953,4.40944862,2.48031497
186.49999953,4.25196838,2.48031497
187.49999953,4.01574802,2.48031497
188.49999953,3.85826778,2.48031497
189.49999952,3.62204719,2.48031497
190.49999952,3.38582683,2.48031497
191.49999952,3.07086611,2.48031497
192.49999952,2.83464575,2.48031497
193.49999951,2.59842515,2.48031497
194.49999951,2.28346467,2.48031497
195.49999951,1.96850395,2.48031497
196.49999951,1.65354335,2.48031497
197.49999950,1.25984251,2.48031497
198.49999950,0.94488192,2.48031497
199.49999950,0.47244096,2.48031497
200.49999950,0.07874016,2.48031497
201.49999949,-0.31496063,2.48031497
202.49999949,-0.78740156,2.44094491
203.49999949,-1.25984251,2.51968503
204.49999948,-1.81102359,2.48031497
205.49999948,-2.28346467,2.48031497
206.49999948,-2.75590539,2.48031497
207.49999948,-3.22834635,2.48031497
208.49999947,-3.62204719,2.44094491
209.49999947,-4.01574802,2.48031497
210.49999947,-4.40944862,2.48031497
211.49999947,-4.80314970,2.48031497
212.49999946,-5.19685030,2.48031497
213.49999946,-5.51181078,2.48031497
214.49999946,-5.90551186,2.48031497
215.49999946,-6.22047234,2.48031497
216.49999945,-6.45669270,-2.20472431
217.49999945,-6.69291353,-2.36220479
218.49999945,-7.00787401,-2.36220479
219.49999945,-7.24409437,-2.36220479
220.49999944,-7.40157461,-2.44094491
221.49999944,-7.48031473,-2.40157485
222.49999944,-7.55905533,-2.44094491
223.49999944,-7.55905533,-2.44094491
224.49999943,-7.40157461,-2.44094491
225.49999943,-7.24409437,-2.44094491
226.49999943,-7.08661413,-2.44094491
227.49999943,-6.85039377,-2.44094491
228.49999942,-6.61417341,-2.48031497
229.49999942,-6.45669270,-2.48031497
230.49999942,-6.14173222,-2.48031497
231.49999942,-5.82677174,-2.48031497
232.49999941,-5.51181078,-2.48031497
233.49999941,-5.11811018,-2.44094491
234.49999941,-4.80314970,-2.48031497
235.49999941,-4.40944862,-2.48031497
236.49999940,-4.09448814,-2.48031497
237.49999940,-3.70078731,-2.48031497
238.49999940,-3.38582683,-2.48031497
239.49999940,-3.07086611,-2.44094491
240.49999939,-2.75590539,-2.48031497
241.49999939,-2.44094491,-2.48031497
242.49999939,-2.20472431,-2.48031497
243.49999939,-1.88976383,-2.48031497
244.49999938,-1.65354335,-2.48031497
245.49999938,-1.41732287,-2.51968503
246.49999938,-1.18110240,-2.48031497
247.49999938,-0.94488192,-2.48031497
248.49999937,-0.70866144,-2.48031497
249.49999937,-0.47244096,-2.48031497
250.49999937,-0.23622048,-2.48031497
251.49999937,0.00000000,-2.48031497
252.49999936,0.23622048,-2.51968503
253.49999936,0.55118108,-2.48031497
254.49999936,0.78740156,-2.48031497
255.49999936,0.94488192,-2.48031497
256.49999935,1.18110240,-2.51968503
257.49999935,1.33858263,-2.48031497
258.49999935,1.57480311,-2.51968503
259.49999935,1.73228347,-2.48031497
260.49999934,1.88976383,-2.51968503
261.49999934,1.96850395,-2.51968503
262.49999934,2.04724407,-2.51968503
263.49999934,2.12598419,-2.51968503
264.49999933,2.12598419,-2.51968503
265.49999933,2.20472431,-2.51968503
266.49999933,2.20472431,-2.51968503
267.49999933,2.20472431,-2.48031497
268.49999932,2.20472431,-2.51968503
269.49999932,2.20472431,-2.51968503
270.49999932,2.28346467,-2.51968503
271.49999932,2.28346467,-2.51968503
272.49999931,2.36220479,-2.48031497
273.49999931,2.36220479,-2.51968503
274.49999931,2.44094491,-2.51968503
275.49999931,2.44094491,-2.48031497
276.49999930,2.51968503,-2.55905509
277.49999930,2.51968503,-2.48031497
278.49999930,2.44094491,-2.51968503
279.49999930,2.51968503,2.36220479
280.49999929,2.44094491,2.36220479
281.49999929,2.36220479,2.40157485
282.49999929,2.28346467,2.40157485
283.49999929,2.28346467,2.44094491
284.49999928,2.44094491,2.40157485
285.49999928,2.51968503,2.40157485
286.49999928,2.75590539,2.40157485
287.49999928,2.99212599,2.44094491
288.49999927,3.22834635,2.44094491
289.49999927,3.46456695,2.44094491
290.49999927,3.70078731,2.44094491
291.49999927,3.85826778,2.44094491
292.49999926,4.09448814,2.44094491
